X,Y,Z,rX,rY,rZ,id
-1.36856,0.944042,-3.42197,1.95049,0.0085765,2.13004,252
-1.39207,0.941632,-3.4224,1.96969,0.00855319,2.14976,253
-1.419,0.938515,-3.42243,1.98607,0.00853739,2.16634,254
-1.44333,0.935627,-3.41953,1.99584,0.00858282,2.17582,255
-1.46798,0.932404,-3.41649,2.00644,0.0086363,2.18508,256
-1.49177,0.928974,-3.41176,2.01643,0.00872079,2.19328,257
-1.51572,0.926077,-3.40596,2.03243,0.00882967,2.20765,258
-1.54639,0.931263,-3.40091,2.05145,0.00892481,2.22756,259
-1.56496,0.927779,-3.4023,2.07315,0.00885927,2.23766,260
-1.58693,0.927256,-3.39807,2.07686,0.00891963,2.23731,261
-1.61642,0.936865,-3.38756,2.0872,0.00914471,2.24456,262
-1.63252,0.930514,-3.38607,2.11386,0.00918226,2.25798,263
-1.64317,0.931804,-3.38461,2.13598,0.00923511,2.27612,264
-1.6599,0.932759,-3.38306,2.15302,0.00928938,2.2938,265
-1.68016,0.935204,-3.3798,2.16423,0.00936466,2.30687,266
-1.69768,0.934406,-3.37716,2.17332,0.00942114,2.31807,267
-1.71499,0.927938,-3.37511,2.17911,0.00946692,2.32747,268
-1.73978,0.931465,-3.36783,2.17904,0.00964829,2.33713,269
-1.76431,0.92766,-3.3624,2.185,0.00979134,2.34545,270
-1.7863,0.923242,-3.3587,2.19228,0.00989086,2.35492,271
-1.81231,0.9186,-3.35426,2.1983,0.01001,2.36342,272
-1.83861,0.914838,-3.34847,2.20463,0.0101716,2.37135,273
-1.86081,0.911788,-3.34351,2.21336,0.0103233,2.38175,274
-1.88202,0.910465,-3.33833,2.22289,0.0104919,2.39351,275
-1.9101,0.91051,-3.33015,2.22973,0.0107443,2.40173,276
-1.93262,0.907408,-3.32458,2.24131,0.0109236,2.4121,277
-1.9515,0.905802,-3.31193,2.25309,0.0113703,2.42533,278
-1.96491,0.909872,-3.30681,2.26353,0.0115118,2.43857,279
-1.98184,0.904926,-3.28638,2.27149,0.0122635,2.44854,280
-2.0046,0.899542,-3.28315,2.29923,0.0122654,2.48558,281
-2.03492,0.908743,-3.28142,2.31017,0.0122195,2.50918,282
-2.05676,0.908897,-3.27166,2.31447,0.012582,2.5189,283
-2.07993,0.907833,-3.26554,2.32568,0.0128186,2.53555,284
-2.10151,0.905188,-3.25906,2.32949,0.0130975,2.54233,285
-2.118,0.903027,-3.25356,2.33156,0.0133329,2.547,286
-2.14152,0.89856,-3.24478,2.33226,0.0136272,2.54992,287
-2.16461,0.892636,-3.23539,2.33287,0.0138455,2.55123,288
-2.18853,0.886883,-3.22607,2.33481,0.0140661,2.55337,289
-2.21237,0.881259,-3.21578,2.33479,0.0143125,2.55295,290
-2.2337,0.877613,-3.20717,2.33651,0.0145244,2.55483,291
-2.2528,0.876398,-3.19726,2.34096,0.0148095,2.56068,292
-2.27657,0.874306,-3.18568,2.34881,0.0151781,2.56995,293
-2.29471,0.874527,-3.17766,2.34977,0.0153847,2.57094,294
-2.30898,0.875314,-3.16862,2.3494,0.0156593,2.57078,295
-2.3295,0.871523,-3.15883,2.35676,0.0160347,2.57777,296
-2.34896,0.872778,-3.15034,2.36886,0.0164211,2.59273,297
-2.37012,0.877873,-3.14229,2.3782,0.016797,2.60915,298
-2.38876,0.879635,-3.13425,2.38126,0.0171305,2.61542,299
-2.4073,0.877559,-3.12658,2.38036,0.017457,2.61696,300
-2.42695,0.873869,-3.11895,2.37718,0.017806,2.61943,301
-2.44865,0.875219,-3.10816,2.373,0.0183397,2.62212,302
-2.46957,0.87095,-3.09933,2.37329,0.0188132,2.62413,303
-2.49014,0.865357,-3.09133,2.37381,0.0192679,2.62505,304
-2.51564,0.861279,-3.08256,2.37262,0.0197784,2.62499,305
-2.5408,0.857349,-3.07516,2.36438,0.0202813,2.61511,306
-2.563,0.851255,-3.06113,2.35824,0.0212825,2.60654,307
-2.58414,0.848783,-3.05117,2.35695,0.0220477,2.60449,308
-2.60655,0.846056,-3.03947,2.35456,0.0230024,2.60029,309
-2.62071,0.846879,-3.02872,2.35915,0.0239875,2.60505,310
-2.63599,0.85004,-3.02142,2.36882,0.0247138,2.61743,311
-2.64721,0.854319,-3.01542,2.37671,0.0253001,2.62569,312
-2.66272,0.853902,-3.00746,2.38083,0.0260727,2.62847,313
-2.67084,0.860314,-3.00329,2.38025,0.0264595,2.62897,314
-2.69312,0.862821,-2.98962,2.37373,0.0272961,2.62629,315
-2.71262,0.86175,-2.97819,2.3736,0.0278825,2.62722,316
-2.73315,0.857491,-2.96888,2.37553,0.0283808,2.63045,317
-2.75249,0.855223,-2.95933,2.37575,0.0289121,2.63256,318
-2.7687,0.84993,-2.94974,2.36974,0.0293933,2.62551,319
-2.78688,0.844306,-2.94067,2.36542,0.0298827,2.61982,320
-2.80933,0.837661,-2.93129,2.364,0.030448,2.61687,321
-2.83329,0.830097,-2.92182,2.3606,0.0310292,2.61107,322
-2.85671,0.824186,-2.91078,2.35561,0.0317714,2.60368,323
-2.87583,0.823446,-2.90042,2.35187,0.0325022,2.59471,324
-2.89408,0.818567,-2.88852,2.35106,0.0334659,2.58716,325
-2.91618,0.821254,-2.87413,2.35472,0.0347817,2.58836,326
-2.93544,0.816127,-2.86701,2.36629,0.0355218,2.59083,327
-2.95818,0.815465,-2.85397,2.37027,0.0369561,2.59113,328
-2.97711,0.814789,-2.84089,2.37576,0.0385202,2.59211,329
-2.99332,0.815248,-2.83067,2.38573,0.0398603,2.59875,330
-3.0111,0.818299,-2.82235,2.39682,0.0410448,2.60851,331
-3.03236,0.818411,-2.81369,2.40991,0.0423584,2.62034,332
-3.04991,0.820078,-2.80639,2.42186,0.0435406,2.63225,333
-3.06095,0.821289,-2.79902,2.42718,0.044751,2.63761,334
-3.07646,0.818629,-2.79345,2.42768,0.0456209,2.63635,335
-3.0994,0.812011,-2.78599,2.42789,0.0468432,2.63496,336
-3.11767,0.808105,-2.77896,2.42741,0.0481576,2.63375,337
-3.13897,0.804151,-2.77289,2.42894,0.0493259,2.63479,338
-3.16001,0.801008,-2.76904,2.42479,0.0501101,2.62863,339
-3.18216,0.79621,-2.76137,2.41358,0.0517574,2.61403,340
-3.20354,0.790643,-2.75046,2.40467,0.0541919,2.60182,341
